PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID
7575 56947 122 287329902 7708 301 1 27 622
7575 56947 132 288929039 4880 301 1 27 1090
7575 56947 166 288369108 4880 301 1 25 799
7575 56947 172 287046360 7708 301 1 26 616
7575 56947 222 291931304 4879 301 2 195 879
7575 56947 240 293245310 7708 301 3 24 439
7575 56947 262 289590820 7708 301 2 23 561
7575 56947 277 293245108 7708 301 3 24 586
7575 56947 379 287048844 4879 301 1 190 983
7575 56947 426 290144905 4879 301 2 189 1037
7575 56947 515 294204352 7708 301 4 16 888
7575 56947 519 294205001 7708 301 4 16 994
7575 56947 674 301164863 4879 301 5 192 857
7575 56947 728 298210489 4880 301 4 24 1094
7575 56947 756 300007418 7708 301 5 24 475
7575 56947 831 302637741 4879 301 5 197 819
7575 56947 862 305077438 8109 301 1 52 1017
7575 56947 884 295993834 4880 301 3 28 722
7575 56947 896 294400823 7708 301 3 28 1024
7575 56947 909 302031613 7708 301 5 31 854
7575 56947 916 299982395 4880 301 4 30 907
7576 56948 9 304719860 8110 301 1 46 800
7576 56948 204 301807694 4879 301 6 183 1377
7576 56948 218 302115470 4879 301 6 184 976
7576 56948 223 305412365 8110 301 2 38 1126
7576 56948 228 305412469 8110 301 2 38 1258
7576 56948 241 298135314 4879 301 5 182 1058
7576 56948 317 308437361 8110 301 3 37 417
7576 56948 366 300229421 4879 301 6 178 222
7576 56948 472 306337309 8110 301 3 31 1593
7576 56948 590 315140793 8109 301 6 32 1388
7576 56948 634 312833038 8109 301 5 35 971
7576 56948 658 309496388 8109 301 4 35 1492
7576 56948 688 312125712 8110 301 4 38 1070
7576 56948 712 316809920 8116 301 1 37 1125
7576 56948 835 314895629 8109 301 5 41 933
7576 56948 922 311903199 8109 301 4 42 918
7576 56948 955 319860450 8116 301 1 45 1542
7576 56948 966 313195808 8109 301 4 46 879
7577 56944 117 275377028 8096 301 5 85 625
7577 56944 155 273446661 8101 301 5 83 603
7577 56944 175 268146043 8096 301 3 83 486
7577 56944 192 273271055 8101 301 5 82 511
7577 56944 366 268429896 8101 301 4 75 927
7577 56944 407 266125253 8096 301 3 73 930
7577 56944 420 268225649 8101 301 4 74 759
7577 56944 430 271453053 8101 301 5 73 706
7577 56944 546 275578033 8108 301 1 86 826
7577 56944 627 278199019 8102 301 1 77 647
7577 56944 660 280543893 8108 301 2 93 512
7577 56944 685 285915925 8102 301 3 81 557
7577 56944 694 280544216 8108 301 2 93 971
7577 56944 712 276952685 8108 301 1 92 800
7577 56944 729 274224253 8096 301 5 79 597
7577 56944 828 277838039 8108 301 1 96 678
7577 56944 922 280390673 8102 301 1 87 485
7577 56944 988 277848113 8101 301 6 88 753
7578 56956 13 283246071 8108 301 3 90 868
7578 56956 16 285196195 8102 301 3 78 237
7578 56956 20 285430689 8102 301 3 79 579
7578 56956 102 282604812 8108 301 3 87 646
7578 56956 209 276356400 8102 301 1 69 545
7578 56956 249 278009808 8108 301 2 82 685
7578 56956 450 278276968 8102 301 2 63 636
7578 56956 564 290643684 8108 301 6 78 593
7578 56956 613 287480342 8108 301 5 79 921
7578 56956 663 296027136 7708 301 2 46 667
7578 56956 778 286768404 8102 301 4 70 512
7578 56956 879 293696082 7708 301 1 50 701
7578 56956 890 289458062 8108 301 5 87 627
7578 56956 903 297603000 7708 301 2 52 591
7578 56956 911 295809434 4880 301 1 52 742
7578 56956 927 289673225 8108 301 5 88 828
7578 56956 946 296366775 4880 301 1 54 816
7579 56954 4 297638937 4880 301 2 46 1333
7579 56954 28 299143109 7708 301 3 45 171
7579 56954 41 296851049 4880 301 2 43 795
7579 56954 114 296851043 4880 301 2 43 780
7579 56954 185 294401949 7708 301 2 40 1091
7579 56954 203 295734320 4880 301 2 39 451
7579 56954 234 301183621 7708 301 4 40 1146
