PLATE_E MJD_E FIBER_E THING_ID_E PLATE_B MJD_B FIBER_B THING_ID_B
7822 57041 721 97080843 4240 55455 998 97253618
7822 57041 762 103487732 4241 55450 730 103672537
7822 57041 768 103487788 4241 55450 729 103672593
7822 57041 790 114372583 4241 55450 752 114560121
7822 57041 794 108618638 4241 55450 764 108807395
7822 57041 799 101099062 4241 55450 766 101281956
7822 57041 854 92134716 3651 55247 36 92283736
7822 57041 854 92134716 4242 55476 512 92283736
7822 57041 864 118088750 4241 55450 832 118283046
7822 57041 879 108616601 4241 55450 814 108805359
7822 57041 896 92133465 4241 55450 200 92282487
7822 57041 910 110598743 4242 55476 560 110793502
7822 57041 910 110598743 4241 55450 880 110793502
7822 57041 914 110598690 4241 55450 878 110793449
7822 57041 931 101094191 4241 55450 934 101277076
7822 57041 931 101094191 4242 55476 562 101277076
7822 57041 936 92132816 4241 55450 156 92281833
7822 57041 990 101092130 4242 55476 649 101275013
7822 57041 994 97097936 4242 55476 658 97270711
7823 56978 18 58677879 4341 55538 36 58700755
7823 56978 54 54805129 4341 55538 90 54825327
7823 56978 70 57534507 4341 55538 112 57556654
7823 56978 128 52619186 4341 55538 212 52637987
7823 56978 172 53521878 4341 55538 248 53541289
7823 56978 186 56908775 4341 55538 308 56930407
7823 56978 264 55493527 4341 55538 386 55514241
7823 56978 265 55493702 4341 55538 342 55514416
7823 56978 274 57512315 4341 55538 434 57534462
7823 56978 392 57230157 4341 55538 482 57252137
7823 56978 406 52672061 4342 55531 82 52690904
7823 56978 414 53517516 4341 55538 494 53536928
7823 56978 424 55812313 4342 55531 114 55833230
7823 56978 483 56136808 4341 55538 500 56157932
7823 56978 491 56736307 4342 55531 196 56757871
7823 56978 522 60929156 4342 55531 814 60953373
7823 56978 531 59661025 4342 55531 818 59684516
7823 56978 570 61268715 4342 55531 930 61293163
7823 56978 614 60925895 4342 55531 976 60950108
7823 56978 683 62894959 4342 55531 982 62920022
7823 56978 717 65979293 4341 55538 594 66004924
7823 56978 731 60127157 4341 55538 580 60150910
7823 56978 740 59894711 4341 55538 616 59918317
7823 56978 768 61630596 4341 55538 658 61655252
7823 56978 769 62405218 4341 55538 648 62430167
7823 56978 780 58921109 4341 55538 396 58944113
7823 56978 800 64266509 4341 55538 680 64291863
7823 56978 814 61911502 4341 55538 730 61936322
7823 56978 827 64630648 4341 55538 752 64656087
7823 56978 832 63913984 4341 55538 760 63939277
7823 56978 836 65722896 4341 55538 754 65748476
7823 56978 850 61911820 4341 55538 776 61936640
7823 56978 876 65383466 4341 55538 794 65409005
7823 56978 882 62754903 4341 55538 769 62779938
7823 56978 901 68747520 4242 55476 242 68785590
7823 56978 914 64898540 4341 55538 878 64924029
7823 56978 934 61274375 4341 55538 854 61298831
7823 56978 968 63108866 4341 55538 888 63134007
7823 56978 989 60105977 4341 55538 940 60129712
7823 56978 995 62417632 4341 55538 962 62442589
7825 57030 4 68769352 4240 55455 170 68807483
7825 57030 4 68769352 3651 55247 282 68807483
7825 57030 10 82632314 4240 55455 153 82740081
7825 57030 25 78071182 4240 55455 174 78158583
7825 57030 28 72691918 3650 55244 102 72753176
7825 57030 28 72691918 4240 55455 216 72753176
7825 57030 32 68769144 3650 55244 42 68807275
7825 57030 32 68769144 4240 55455 203 68807275
7825 57030 34 68769379 3650 55244 52 68807510
7825 57030 42 65511221 4342 55531 558 65536771
7825 57030 118 78066856 4240 55455 268 78154252
7825 57030 118 78066856 3651 55247 341 78154252
7825 57030 148 72693449 4240 55455 296 72754713
7825 57030 148 72693449 3650 55244 212 72754713
7825 57030 154 68774767 4240 55455 322 68812907
7825 57030 222 68777004 3650 55244 292 68815154
7825 57030 222 68777004 4240 55455 408 68815154
7825 57030 225 72697439 3650 55244 334 72758706
7825 57030 225 72697439 4239 55458 94 72758706
7825 57030 238 78059838 4240 55455 426 78147210
7825 57030 238 78059838 3651 55247 462 78147210
7825 57030 243 66806620 4343 55540 744 66832314
7825 57030 268 72698443 4239 55458 126 72759710
7825 57030 268 72698443 3745 55234 168 72759710
7825 57030 268 72698443 4240 55455 450 72759710
7825 57030 308 72700329 3650 55244 414 72761598
7825 57030 308 72700329 4239 55458 178 72761598
7825 57030 324 62208661 4343 55540 680 62233546
7825 57030 336 65237473 4343 55540 638 65262960
7825 57030 337 63712334 4343 55540 636 63737601
7825 57030 338 68780482 4343 55540 662 68818644
7825 57030 354 78053080 3745 55234 226 78140413
7825 57030 354 78053080 4239 55458 182 78140413
7825 57030 420 68783463 4239 55458 242 68821631
7825 57030 420 68783463 3745 55234 284 68821631
7825 57030 434 78045700 4239 55458 296 78133006
7825 57030 459 68785586 4239 55458 292 68823759
7825 57030 459 68785586 3744 55209 54 68823759
7825 57030 490 68787994 3744 55209 168 68826175
7825 57030 490 68787994 4239 55458 366 68826175
7825 57030 500 82654903 4238 55455 27 82762761
7825 57030 500 82654903 3647 55945 30 82762761
7825 57030 500 82654903 3647 55181 26 82762761
7825 57030 500 82654903 3647 56596 8 82762761
7825 57030 500 82654903 3615 55179 2 82762761
7825 57030 500 82654903 3615 55208 16 82762761
7825 57030 500 82654903 3615 55445 6 82762761
7825 57030 500 82654903 3647 56568 2 82762761
7825 57030 500 82654903 3615 56219 10 82762761
7825 57030 500 82654903 3647 55476 4 82762761
7825 57030 500 82654903 3647 55827 10 82762761
7825 57030 500 82654903 4239 55458 386 82762761
7825 57030 500 82654903 3615 55856 6 82762761
7825 57030 500 82654903 3615 56544 4 82762761
7825 57030 500 82654903 3647 55241 36 82762761
7825 57030 500 82654903 3647 56219 6 82762761
7825 57030 530 88043624 3647 56568 18 88170329
7825 57030 530 88043624 3615 55445 10 88170329
7825 57030 530 88043624 4238 55455 34 88170329
7825 57030 530 88043624 3647 55476 6 88170329
7825 57030 530 88043624 3647 56219 8 88170329
7825 57030 530 88043624 3615 56544 12 88170329
7825 57030 530 88043624 3647 56596 12 88170329
7825 57030 530 88043624 4239 55458 355 88170329
7825 57030 530 88043624 3647 55241 22 88170329
7825 57030 530 88043624 3615 55856 10 88170329
7825 57030 530 88043624 3615 56219 20 88170329
7825 57030 538 88041774 4238 55455 35 88168472
7825 57030 538 88041774 3745 55234 428 88168472
7825 57030 538 88041774 4239 55458 348 88168472
7825 57030 553 103513020 4239 55458 642 103697818
7825 57030 553 103513020 4238 55455 970 103697818
7825 57030 553 103513020 3745 55234 606 103697818
7825 57030 569 94132559 4238 55455 17 94295047
7825 57030 569 94132559 3650 55244 497 94295047
7825 57030 574 88050091 3745 55234 350 88176806
7825 57030 574 88050091 4239 55458 318 88176806
7825 57030 598 103510940 3745 55234 696 103695741
7825 57030 598 103510940 4239 55458 730 103695741
7825 57030 601 97035841 4239 55458 776 97208626
7825 57030 601 97035841 3745 55234 732 97208626
7825 57030 613 88052645 3650 55244 496 88179370
7825 57030 613 88052645 3745 55234 312 88179370
7825 57030 622 114950597 3650 55244 589 115138495
7825 57030 622 114950597 4239 55458 834 115138495
7825 57030 626 110614909 4239 55458 800 110809675
7825 57030 626 110614909 3745 55234 760 110809675
7825 57030 626 110614909 3650 55244 554 110809675
7825 57030 632 106405513 4239 55458 810 106594602
7825 57030 632 106405513 3650 55244 530 106594602
7825 57030 638 97040352 3744 55209 1000 97213141
7825 57030 638 97040352 4240 55455 516 97213141
7825 57030 638 97040352 4239 55458 856 97213141
7825 57030 640 103507775 4239 55458 802 103692570
7825 57030 640 103507775 3650 55244 564 103692570
7825 57030 643 94129878 3745 55234 272 94292356
7825 57030 643 94129878 4239 55458 231 94292356
7825 57030 648 94130938 3744 55209 88 94293417
7825 57030 648 94130938 4239 55458 238 94293417
7825 57030 682 97040681 4240 55455 540 97213470
7825 57030 682 97040681 4239 55458 858 97213470
7825 57030 682 97040681 3650 55244 576 97213470
7825 57030 690 97043545 4239 55458 900 97216334
7825 57030 698 88059142 4239 55458 152 88185893
7825 57030 698 88059142 3744 55209 26 88185893
7825 57030 741 110613053 3650 55244 670 110807819
7825 57030 762 97049859 3650 55244 733 97222642
7825 57030 762 97049859 4239 55458 973 97222642
7825 57030 772 88064211 4239 55458 112 88190959
7825 57030 772 88064211 4240 55455 472 88190959
7825 57030 774 88066167 4240 55455 438 88192922
7825 57030 774 88066167 3651 55247 490 88192922
7825 57030 776 88065806 4239 55458 62 88192563
7825 57030 776 88065806 3745 55234 138 88192563
7825 57030 782 119486793 4240 55455 554 119682415
7825 57030 782 119486793 3650 55244 672 119682415
7825 57030 792 110612194 4239 55458 920 110806959
7825 57030 792 110612194 3650 55244 679 110806959
7825 57030 798 103504110 4239 55458 932 103688901
7825 57030 798 103504110 4240 55455 608 103688901
7825 57030 798 103504110 3745 55234 890 103688901
7825 57030 822 119464892 4240 55455 584 119660498
7825 57030 822 119464892 4239 55458 942 119660498
7825 57030 828 110610786 4240 55455 635 110805549
7825 57030 828 110610786 4239 55458 958 110805549
7825 57030 828 110610786 3650 55244 754 110805549
7825 57030 828 110610786 3651 55247 556 110805549
7825 57030 836 103502191 3650 55244 734 103686989
7825 57030 836 103502191 4239 55458 970 103686989
7825 57030 844 97054908 4239 55458 990 97227692
7825 57030 844 97054908 4240 55455 649 97227692
7825 57030 844 97054908 3745 55234 970 97227692
7825 57030 846 94122140 4239 55458 17 94284586
7825 57030 846 94122140 3745 55234 80 94284586
7825 57030 860 82639855 3745 55234 68 82747650
7825 57030 860 82639855 4240 55455 350 82747650
7825 57030 860 82639855 3650 55244 224 82747650
7825 57030 878 103500472 4240 55455 685 103685272
7825 57030 878 103500472 3651 55247 573 103685272
7825 57030 880 103499112 4240 55455 722 103683915
7825 57030 920 103498332 3650 55244 852 103683134
7825 57030 920 103498332 4240 55455 768 103683134
7825 57030 928 94121450 4240 55455 280 94283901
7825 57030 928 94121450 3651 55247 396 94283901
7825 57030 934 88077461 3650 55244 196 88204240
7825 57030 934 88077461 4240 55455 276 88204240
7825 57030 935 94120279 4240 55455 238 94282726
7825 57030 935 94120279 3651 55247 355 94282726
7825 57030 949 92146386 3650 55244 140 92295489
7825 57030 949 92146386 4241 55450 488 92295489
7825 57030 954 88081516 4240 55455 222 88208313
7825 57030 954 88081516 3651 55247 314 88208313
7825 57030 957 88084435 4240 55455 188 88211233
7825 57030 957 88084435 3650 55244 130 88211233
7825 57030 968 110607204 4240 55455 800 110801965
7825 57030 968 110607204 3651 55247 682 110801965
7825 57030 988 92146789 4240 55455 858 92295893
7825 57030 988 92146789 4241 55450 528 92295893
7825 57030 990 92146722 3651 55247 272 92295826
7825 57030 990 92146722 4241 55450 490 92295826
7825 57030 990 92146722 4240 55455 196 92295826
7825 57030 991 92145449 4241 55450 480 92294547
7825 57030 991 92145449 4240 55455 158 92294547
7826 56931 10 55184965 4342 55531 113 55205482
7826 56931 31 55495268 4342 55531 148 55515984
7826 56931 32 55495429 4342 55531 146 55516145
7826 56931 96 53160198 4342 55531 210 53179349
7826 56931 98 52942639 4342 55531 252 52961635
7826 56931 115 56645611 4342 55531 274 56667144
7826 56931 117 56645651 4342 55531 276 56667184
7826 56931 143 53860627 4342 55531 330 53880248
7826 56931 145 53860915 4342 55531 336 53880536
7826 56931 179 53045741 4342 55531 292 53064804
7826 56931 208 52984017 4342 55531 364 53003049
7826 56931 336 52854218 4343 55540 49 52873188
7826 56931 346 55420821 4343 55540 62 55441503
7826 56931 376 52814112 4342 55531 450 52833056
7826 56931 464 53598272 4343 55540 220 53617724
7826 56931 588 63885675 4343 55540 821 63910964
7826 56931 671 63984650 4343 55540 924 64009963
7826 56931 707 68769144 3650 55244 42 68807275
7826 56931 707 68769144 4240 55455 203 68807275
7826 56931 749 67005109 4342 55531 622 67030852
7826 56931 757 62536640 4343 55540 987 62561613
