PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID PLUG_RA PLUG_DEC SPECTROFLUX_1 SPECTROFLUX_2 SPECTROFLUX_3
7579 56954 185 294401949 7708 301 2 40 1091 333.47663 20.964057 1.7667734622955322 2.8389041423797607 3.259371519088745
7579 56954 203 295734320 4880 301 2 39 451 333.14239999999995 21.104876 8.257098197937012 9.955469131469727 12.233933448791504
7579 56954 234 301183621 7708 301 4 40 1146 333.25602000000003 21.753255 2.3659586906433105 2.5550646781921387 2.7925093173980713
7579 56954 242 295451868 4880 301 2 38 913 333.08957 21.091371 4.973598003387451 5.7676591873168945 7.066860675811768
7579 56954 277 300610278 7708 301 4 38 815 332.85132 21.71812 10.074009895324707 10.036582946777344 11.283008575439453
7579 56954 314 296972161 7708 301 3 37 756 332.84262 21.257841 3.6452858448028564 4.689196586608887 6.2528157234191895
7579 56954 320 300337127 7708 301 4 37 750 332.68362 21.647386 2.7570672035217285 2.9998586177825928 3.886841058731079
7579 56954 329 295177814 4880 301 2 37 1135 332.88229 20.974974 2.311185359954834 2.7900264263153076 3.016801357269287
7579 56954 378 293298801 7708 301 2 36 844 332.82633 20.829326 2.3272736072540283 3.0067431926727295 3.426182270050049
7579 56954 386 298016445 4880 301 3 35 1176 332.45516999999995 21.305657 1.6805373430252075 1.5610902309417725 1.7395697832107544
7579 56954 419 293044837 7708 301 2 35 776 332.61933999999997 20.772905 3.5264713764190674 4.295405864715576 4.297948360443115
7579 56954 425 299495132 7708 301 4 34 1052 332.3135199999999 21.534779 1.9749881029129028 2.5003349781036377 2.7383716106414795
7579 56954 462 301492620 7708 301 5 29 1054 331.48794999999996 21.730033 1.3154751062393188 1.2628998756408691 0.8209396004676819
7579 56954 489 298649307 7708 301 4 31 731 331.82048 21.321337 5.598119735717773 7.565362930297852 9.395936965942383
7579 56954 496 296881747 4880 301 3 31 805 331.8176900000001 21.234934 4.968686580657959 4.645055294036865 5.325956344604492
7579 56954 540 302308439 7708 301 5 32 705 331.83301000000006 21.833194 2.9489102363586426 3.5811431407928467 3.569305181503296
7579 56954 594 310352407 8109 301 2 58 1024 332.08166000000006 22.791923 3.8239188194274902 3.9884462356567383 3.7869484424591064
7579 56954 626 314629073 8109 301 3 61 709 332.39888999999994 23.24922 4.528268814086914 4.2551469802856445 4.152720928192139
7579 56954 650 305087164 4880 301 5 36 1043 332.46857 22.216058 1.670939564704895 2.0071825981140137 2.256190299987793
7579 56954 684 307867040 8109 301 1 61 829 332.58914000000004 22.463383 2.4197542667388916 2.87483286857605 2.7398931980133057
7579 56954 790 309886815 4880 301 6 41 522 333.0655300000001 22.727872 3.4773926734924316 3.3628475666046143 3.5149929523468018
7579 56954 816 303079029 4880 301 4 41 875 333.24442 22.032091 2.021127700805664 3.2067580223083496 3.9997737407684326
7579 56954 818 303078999 4880 301 4 41 535 333.28219 21.88999 3.3769097328186035 4.4395928382873535 5.281825065612793
7579 56954 842 305159960 7708 301 5 42 835 333.38828 22.221974 2.843843460083008 5.195346355438232 6.185060024261475
7579 56954 870 310472367 4880 301 6 43 754 333.38408000000004 22.733785 4.273172378540039 4.972856044769287 4.98117208480835
7579 56954 880 307049934 4880 301 5 43 743 333.46353 22.529743 4.047715187072754 6.4265289306640625 8.47933578491211
7579 56954 929 305688553 7708 301 5 44 793 333.75247 22.194891 1.638290286064148 2.4565837383270264 2.0714497566223145
7579 56954 963 304717190 4880 301 4 47 668 334.22948999999994 22.062492 3.3437132835388184 3.5082240104675293 3.9656879901885986
7580 56955 53 308192191 4880 301 6 35 759 332.17497000000003 22.581921 2.288768768310547 2.780226707458496 2.9982643127441406
7580 56955 83 307338472 4880 301 6 32 564 331.69415000000004 22.421841 3.298217535018921 4.319284915924072 5.144969463348389
7580 56955 122 304857327 7708 301 6 29 302 331.29017 22.077702 6.445764064788818 9.451120376586914 9.839213371276855
7580 56955 164 306454088 4880 301 6 29 704 331.28643 22.286528 10.241065979003906 11.519828796386719 11.33784294128418
7580 56955 206 306454302 4880 301 6 29 856 331.16545999999994 22.329293 1.5998979806900024 1.5655286312103271 1.7760549783706665
7580 56955 208 306454456 4880 301 6 29 1153 331.18953 22.337861 4.197067737579346 5.59527063369751 6.510502815246582
7580 56955 234 313766165 8110 301 3 53 889 331.00712999999996 23.28792 2.064887285232544 2.2508010864257812 2.114352226257324
7580 56955 326 304997528 4880 301 6 24 752 330.45132 22.109113 4.4592976570129395 5.3732171058654785 5.407435894012451
7580 56955 416 308073421 8110 301 2 46 762 330.00701000000004 22.549934 7.835781574249268 7.86909294128418 8.518298149108887
7580 56955 474 313196366 8109 301 4 46 1007 329.80558999999994 23.26363 2.428013801574707 2.296633243560791 2.296036958694458
7580 56955 652 317598870 8109 301 5 49 437 330.21461 23.587861 6.681570529937744 8.30439281463623 10.409460067749023
7580 56955 670 321701144 8116 301 1 50 537 330.26874999999995 24.093118 2.031522750854492 1.6472077369689941 1.9758561849594116
7580 56955 696 317939117 8109 301 5 50 923 330.45550000000003 23.64686 1.937930703163147 2.0499837398529053 2.412879467010498
7580 56955 753 322480654 8109 301 6 53 141 330.83953999999994 24.22343 7.210132598876953 6.730623722076416 9.710951805114746
7580 56955 769 317105555 8110 301 4 53 818 330.8444400000001 23.706363 7.0509796142578125 8.026633262634277 9.495967864990234
7580 56955 770 318971343 8109 301 5 53 895 330.8741600000001 23.962824 8.1546049118042 10.635164260864258 11.795737266540527
7580 56955 876 324311734 8116 301 1 57 1489 331.40290000000005 24.378442 1.7182509899139404 3.1343905925750732 3.470780849456787
7580 56955 983 319718700 8110 301 4 61 734 332.10955 23.894787 2.960861921310425 3.183692216873169 3.4088211059570312
